code,name,regioFacet,level,url,name_norm,centroid_geom,centroid_lon,centroid_lat,municipality_final_v8,province_final_v8,midwest_subregion_v8,water_count,bad_entry_count,high_conf_count,night_allowed_count,night_restricted_count,night_not_allowed_count,shelter_allowed_count,shelter_restricted_count,shelter_not_allowed_count,third_rod_allowed_count,third_rod_restricted_count,third_rod_not_allowed_count,pc4_count,authority_count,species_hint,midwest_focus_v8,mapbox_feature_id_v8,map_title_v8,map_subtitle_v8,layer_type_v8
0213,Brummen,tcm:106-353453-1024,4,/regioinformatie/gemeente/brummen/,brummen,POINT (6.118605978205803 52.109044866654045),6.118605978205803,52.109044866654045,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::brummen,Brummen,,municipality_polygon
0214,Buren,tcm:106-353454-1024,4,/regioinformatie/gemeente/buren/,buren,POINT (5.403535152258133 51.93828916778111),5.403535152258133,51.93828916778111,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::buren,Buren,,municipality_polygon
0216,Culemborg,tcm:106-353455-1024,4,/regioinformatie/gemeente/culemborg/,culemborg,POINT (5.210447391644825 51.94589144469048),5.210447391644825,51.94589144469048,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::culemborg,Culemborg,,municipality_polygon
0221,Doesburg,tcm:106-353456-1024,4,/regioinformatie/gemeente/doesburg/,doesburg,POINT (6.146659444524602 52.018573171311935),6.146659444524602,52.018573171311935,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::doesburg,Doesburg,,municipality_polygon
0222,Doetinchem,tcm:106-353457-1024,4,/regioinformatie/gemeente/doetinchem/,doetinchem,POINT (6.28681271673216 51.960884017109365),6.28681271673216,51.960884017109365,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::doetinchem,Doetinchem,,municipality_polygon
0225,Druten,tcm:106-353458-1024,4,/regioinformatie/gemeente/druten/,druten,POINT (5.612432756282784 51.87487137059646),5.612432756282784,51.87487137059646,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::druten,Druten,,municipality_polygon
0226,Duiven,tcm:106-353459-1024,4,/regioinformatie/gemeente/duiven/,duiven,POINT (6.018067299434789 51.94650038397358),6.018067299434789,51.94650038397358,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::duiven,Duiven,,municipality_polygon
0228,Ede,tcm:106-353460-1024,4,/regioinformatie/gemeente/ede/,ede,POINT (5.728127954095208 52.07643678056407),5.728127954095208,52.07643678056407,Ede,Gelderland,midwest-oost,8,0,8,0,0,0,0,0,0,0,0,0,2,1,Karper | Onbekend,True,municipality::ede,Ede,Gelderland,municipality_polygon
0230,Elburg,tcm:106-353461-1024,4,/regioinformatie/gemeente/elburg/,elburg,POINT (5.849147556352315 52.41323229791492),5.849147556352315,52.41323229791492,Elburg,Gelderland,midwest-oost,39,0,39,0,5,0,0,0,0,0,5,0,1,3,Onbekend | Roofvis | Karper,True,municipality::elburg,Elburg,Gelderland,municipality_polygon
0232,Epe,tcm:106-353462-1024,4,/regioinformatie/gemeente/epe/,epe,POINT (5.955057465631278 52.32545789738536),5.955057465631278,52.32545789738536,,,midwest-oost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,municipality::epe,Epe,,municipality_polygon
0233,Ermelo,tcm:106-353463-1024,4,/regioinformatie/gemeente/ermelo/,ermelo,POINT (5.666021884384331 52.288262829927895),5.666021884384331,52.288262829927895,,,midwest-oost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,municipality::ermelo,Ermelo,,municipality_polygon
0236,Geldermalsen,tcm:106-353464-1024,4,/regioinformatie/gemeente/geldermalsen/,geldermalsen,POINT (5.220926526650974 51.8877797796153),5.220926526650974,51.8877797796153,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::geldermalsen,Geldermalsen,,municipality_polygon
0241,Groesbeek,tcm:106-353465-1024,4,/regioinformatie/gemeente/groesbeek/,groesbeek,POINT (5.949794775089941 51.81996308896704),5.949794775089941,51.81996308896704,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::groesbeek,Groesbeek,,municipality_polygon
0243,Harderwijk,tcm:106-353466-1024,4,/regioinformatie/gemeente/harderwijk/,harderwijk,POINT (5.64437324584871 52.341277741933474),5.64437324584871,52.341277741933474,Harderwijk,Gelderland,midwest-oost,7,0,7,0,0,0,0,0,0,0,0,0,1,2,Onbekend | Roofvis,True,municipality::harderwijk,Harderwijk,Gelderland,municipality_polygon
0244,Hattem,tcm:106-353467-1024,4,/regioinformatie/gemeente/hattem/,hattem,POINT (6.052992589615267 52.47481943567896),6.052992589615267,52.47481943567896,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::hattem,Hattem,,municipality_polygon
0246,Heerde,tcm:106-353468-1024,4,/regioinformatie/gemeente/heerde/,heerde,POINT (6.050379344678243 52.40603679555942),6.050379344678243,52.40603679555942,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::heerde,Heerde,,municipality_polygon
0252,Heumen,tcm:106-353469-1024,4,/regioinformatie/gemeente/heumen/,heumen,POINT (5.818520080199088 51.77789878260583),5.818520080199088,51.77789878260583,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::heumen,Heumen,,municipality_polygon
0733,Lingewaal,tcm:106-353470-1024,4,/regioinformatie/gemeente/lingewaal/,lingewaal,POINT (5.089293850864982 51.847648033763335),5.089293850864982,51.847648033763335,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::lingewaal,Lingewaal,,municipality_polygon
1705,Lingewaard,tcm:106-353471-1024,4,/regioinformatie/gemeente/lingewaard/,lingewaard,POINT (5.9422599225318 51.90148983918379),5.9422599225318,51.90148983918379,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::lingewaard,Lingewaard,,municipality_polygon
